cdcid,DateFirstIll,EstimatedPrimary,DeathsInfo,HospitalInfo,CAFC_1,States,Ingredients,FoodNames,IFSACLevel,TaxonomyConfirmation
297018,2020-09-20,7,4.0,4.0,Fish,"['california', 'florida', 'new', 'jersey', 'new', 'york']",[],"['smoked', 'fish']","['aquatic', 'animals', 'fish']",confirmed
297021,2021-01-16,2,2.0,2.0,Other Aquatic Animals,['alaska'],"['seal', 'oil']","['seal', 'oil']","['aquatic', 'animals', 'other', 'aquatic', 'animals']",confirmed
297030,2020-04-01,5,0.0,0.0,,['illinois'],[],[],[],
297031,2020-02-20,6,6.0,6.0,,['illinois'],[],[],[],suspected
297032,2020-01-08,30,0.0,0.0,,['illinois'],[],[],[],suspected
297034,2020-10-28,2,2.0,2.0,,['illinois'],[],[],[],suspected
297038,2020-08-21,31,19.0,26.0,,"['alaska', 'arizona', 'arkansas', 'california', 'colorado', 'connecticut', 'florida', 'illinois', 'louisiana', 'minnesota', 'missouri', 'nebraska', 'new', 'mexico', 'new', 'york', 'north', 'carolina', 'north', 'dakota', 'oregon', 'pennsylvania', 'south', 'dakota', 'tennessee', 'texas', 'utah']",[],[],[],confirmed
297043,2020-10-06,2,2.0,2.0,,['pennsylvania'],[],[],[],confirmed
297048,2020-09-04,3,0.0,0.0,Grains-Beans,['illinois'],"['beans', 'beans']","['carne', 'asada', 'burrito', 'chicken']","['plant', 'grains', 'beans', 'beans']",suspected
297049,2021-02-08,2,2.0,2.0,Fish,['florida'],"['fish', 'snapper']","['fish', 'snapper']","['aquatic', 'animals', 'fish']",confirmed
297055,2021-02-15,12,12.0,12.0,Multiple,['utah'],[],"['green', 'salad', 'chicken', 'wrap']",['multiple'],confirmed
297061,2021-01-20,4,4.0,4.0,Dairy,['oregon'],[],"['raw', 'milk', 'goat', 'cheese']","['land', 'animals', 'dairy', 'solid', 'semi', 'solid', 'dairy', 'products', 'unpasteurized']",suspected
297062,2020-12-27,4,4.0,4.0,Dairy,['oregon'],[],"['raw', 'unpasteurized', 'milk']","['land', 'animals', 'dairy', 'fluid', 'milk', 'unpasteurized']",confirmed
297063,2020-10-19,5,5.0,5.0,Fish,['minnesota'],['tuna'],"['fish', 'tuna', 'spicy', 'roll']","['aquatic', 'animals', 'fish']",confirmed
297077,2020-03-09,4,4.0,4.0,Fish,"['puerto', 'rico']",[],"['fish', 'mutton', 'snapper']","['aquatic', 'animals', 'fish']",confirmed
297090,2020-08-06,14,12.0,12.0,,"['california', 'florida', 'louisiana', 'massachusetts', 'new', 'york']",[],"['italian', 'style', 'deli', 'meats']","['land', 'animals', 'meat', 'poultry']",confirmed
297094,2020-11-26,3,3.0,3.0,,"['illinois', 'michigan']",[],"['deli', 'meat']","['land', 'animals', 'meat', 'poultry']",confirmed
297096,2021-02-19,2,2.0,2.0,,['colorado'],[],[],[],
297100,2021-01-23,2,2.0,2.0,,"['puerto', 'rico']",[],[],[],confirmed
297101,2020-12-25,5,5.0,5.0,Pork,"['puerto', 'rico']",['pork'],"['roasted', 'pork']","['land', 'animals', 'meat', 'poultry', 'meat', 'pork']",suspected
297104,2021-03-02,28,28.0,28.0,,['washington'],[],[],[],confirmed
297111,2021-02-16,324,324.0,324.0,Multiple,['kentucky'],"['chicken', 'beans', 'chicken']","['chicken', 'beans', 'chili']",['multiple'],confirmed
297114,2020-06-11,4,4.0,4.0,,['illinois'],[],[],[],confirmed
297115,2020-10-30,3,3.0,3.0,,['illinois'],[],[],[],suspected
297118,2020-08-13,17,17.0,17.0,,['colorado'],[],[],[],confirmed
297120,2020-12-18,22,20.0,20.0,,"['arkansas', 'maryland', 'new', 'york', 'oklahoma', 'texas', 'virginia', 'washington']",[],[],[],confirmed
297121,2020-11-12,65,55.0,54.0,Seeded Vegetables,"['illinois', 'new', 'jersey', 'new', 'york', 'pennsylvania']",['tomato'],['tomatoes'],"['plant', 'produce', 'vegetables', 'leafy', 'vine', 'stalk', 'seeded', 'vegetables', 'solanaceous']",confirmed
297125,2021-02-26,12,12.0,12.0,,['tennessee'],[],[],[],suspected
297148,2020-04-21,12,12.0,12.0,,['illinois'],[],[],[],confirmed
297152,2020-04-11,2,2.0,2.0,Fish,['minnesota'],"['tuna', 'steak']","['fish', 'tuna']","['aquatic', 'animals', 'fish']",confirmed
297159,2021-03-10,4,4.0,4.0,,['ohio'],[],[],[],
297169,2021-02-23,7,7.0,7.0,,['minnesota'],[],[],[],confirmed
297180,2021-02-27,3,3.0,3.0,,['ohio'],[],[],[],confirmed
297189,2021-03-08,2,2.0,2.0,Beef,['utah'],[],"['ground', 'beef', 'meatloaf']","['land', 'animals', 'meat', 'poultry', 'meat', 'beef', 'non', 'intact', 'raw', 'ground']",
297191,2021-03-13,31,31.0,31.0,,['ohio'],[],[],[],confirmed
297193,2020-09-20,20,20.0,20.0,,"['florida', 'illinois', 'iowa']",[],[],[],
297194,2020-06-15,5,5.0,5.0,,['illinois'],[],[],[],confirmed
297195,2020-04-09,31,31.0,31.0,Multiple,"['florida', 'illinois', 'maryland']","['egg', 'liver', 'chicken', 'vidalia', 'onion']","['liver', 'chicken']",['multiple'],confirmed
297199,2021-02-18,31,31.0,31.0,Multiple,"['florida', 'tennessee']",[],['salad'],['multiple'],confirmed
297202,2021-03-19,13,13.0,13.0,,['florida'],[],[],[],suspected
297209,2021-03-22,2,2.0,2.0,,['ohio'],[],[],[],
297220,2021-03-04,4,4.0,4.0,Multiple,['virginia'],[],"['chicken', 'philly', 'cheesesteak']",['multiple'],suspected
297223,2021-03-02,2,2.0,2.0,Multiple,['virginia'],[],"['sweet', 'and', 'sour', 'pork']",['multiple'],suspected
297226,2021-03-26,4,4.0,4.0,,['ohio'],[],[],[],suspected
297227,2021-03-17,22,1.0,1.0,,['ohio'],[],[],[],suspected
297236,2021-02-18,93,93.0,93.0,,"['georgia', 'illinois']",[],[],[],confirmed
297239,2021-03-20,5,5.0,5.0,,['wisconsin'],[],[],[],confirmed
297242,2020-09-20,6,6.0,6.0,,"['new', 'york']",[],[],[],
297244,2021-03-22,6,0.0,0.0,,['ohio'],[],[],[],
297252,2020-06-10,4,4.0,4.0,Fish,"['new', 'york']",['tuna'],"['tuna', 'filets', 'albacore', 'and', 'ahi', 'tuna']","['aquatic', 'animals', 'fish']",confirmed
297255,2020-08-01,2,0.0,0.0,,"['new', 'york']",[],[],[],confirmed
297256,2020-05-14,12,12.0,12.0,,"['new', 'york']",[],[],[],suspected
297273,2020-07-05,2,2.0,2.0,Fish,"['new', 'york']","['tuna', 'steak']","['tuna', 'steak']","['aquatic', 'animals', 'fish']",confirmed
